topic_id,nb_articles,proportion_ratio,est_emergent,label
0,184,0.0128,False,"Quantum software, Quantum hardware & Quantum computing"
1,143,0.01,False,Spike neural & Spike neuron
2,129,0.009,False,Speech text & Speech recognition
3,124,0.0087,False,"Graph neural, Graph classification & Graph learning"
4,115,0.008,False,Attention layer & Linear attention
5,104,0.0073,False,Protein language & Molecular design
6,94,0.0066,True,"Video generation, Video model & Video language"
7,94,0.0066,True,Linear code & Additive code
8,92,0.0064,False,"Biological neural, Neuron & Neural circuit"
9,78,0.0054,False,Feedback student & Student learn
10,77,0.0054,False,Antenna array & Position antenna
11,76,0.0053,True,Bandit algorithm & Linear bandit
12,75,0.0052,False,Vehicle uavs & Vehicle uav
13,73,0.0051,True,Clinical documentation & Clinical information
14,71,0.005,True,Automate driving & Autonomous drive
15,67,0.0047,True,Reward modeling & Reward model
16,60,0.0042,False,Audio language & Audio visual
17,59,0.0041,False,"Defense framework, Attack surface & Agent attack"
19,58,0.004,True,Code generation & Programming language
18,58,0.004,True,Robotic hand & Robot hand
20,57,0.004,True,Camera lidar & Lidar camera
21,55,0.0038,True,"Diffusion language, Diffusion sampler & Diffusion model"
22,55,0.0038,True,Humanoid control & Humanoid motion
23,53,0.0037,False,"Tactile sensing, Tactile sensor & Vision tactile"
24,50,0.0035,True,"Causal discovery, Discover causal & Causal modeling"
25,49,0.0034,True,Differential privacy & Privacy dp
26,44,0.0031,True,Shannon entropy & Entropy maximize
27,44,0.0031,False,"Skill structure, Skill ecosystem & Skill agent"
28,42,0.0029,True,Mri image & Imaging mri
29,41,0.0029,False,Electroencephalography eeg & Eeg feature
